query,rank,chunk_id,score,source,document_id,page,section,text
What should be done after H. pylori treatment fails?,5,ACG_0074,0.6001,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,18,ERADICATING HELICOBACTER PYLORI INFECTION IN TREATMENT-EXPERIENCED PATIENTS,"9. In treatment-experienced patients with persistent H. pylori infection who have not previously received optimized BQT, optimized BQT is suggested over quinolone-based therapy (conditional recommendation; low quality of evidence)."
What are the recommended first-line therapies for H. pylori?,1,ACG_0036,0.7055,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,9,ERADICATING HELICOBACTER PYLORI INFECTION IN TREATMENT-NAIVE PATIENTS,"2. In treatment-naive patients with H. pylori infection, rifabutin triple therapy is suggested as a first-line treatment option (conditional recommendation; low quality evidence) Rifabutin triple therapy consists of a PPI, rifabutin, and amoxicillin. This regimen has traditionally been viewed as an option for treatment-experienced patients with persistent H. pylori infection. More recently, this combination has been evaluated in treatment-naive patients. In a meta-analysis of clinical trialsthat comparedrifabutin triple therapy with avariety ofother regimens, only a minority were randomized, and only one of the 8 that were randomized was adequately blinded (75). Furthermore, most trials were performed outside of the United States. In the United States, only 1 rifabutin-based triple regimen (Talicia; Red Hill Biopharma, Raleigh, NC) is approved by the FDA for the treatment of H. pylori infection in adults. It is a fixed-dose combination of omeprazole, rifabutin, and amoxicillin—with Figure 2. (a) Meta-analysis of antibiotic susceptibility testing performed on 2,669 H. pylori strains from the United States between 2011 and 2021 (58). (b) US regional antibiotic resistance rates among 381 patients with H. pylori infection (57). total daily doses of 120 mg, 150 mg, and 3 g, respectively. In the 2 trials that led to its FDA approval, the proprietary dose of rifabutin that was used was 50 mg taken 8-hourly for 14 days; this dose may maintain the intragastric rifabutin concentration above its MIC90 for H. pylori for longer than regimens using 150 mg given once or twice daily or 300 mg given once daily (76)."
What are the recommended first-line therapies for H. pylori?,2,ACG_0072,0.7024,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,17,ERADICATING HELICOBACTER PYLORI INFECTION IN TREATMENT-EXPERIENCED PATIENTS,"5. In treatment-experienced patients with persistent H. pylori infection that is confirmed to be clarithromycin-sensitive, PPI- or PCAB-clarithromycin triple therapy is suggested. As the recommendations of this guideline for the first-line treatment of H. pylori infection are incorporated into clinical practice, a larger proportion of treatment-experienced patients with persistent H. pylori infection will have previously been treated with BQT, rifabutin triple therapy, or vonoprazanamoxicillin dual therapy. If, related to previous use, high cost, or a lack of availability, treatment regimens containing clarithromycin or levofloxacin need to be considered, antibiotic susceptibility testing (see Key concept 6) should be performed. Here, we discuss clarithromycin triple therapy as salvage therapy, whereas quinolone-based salvage therapy is discussed below. There are no RCTs or robust observational data from North America that evaluate clarithromycin triple therapy as salvage therapy after BQT, rifabutin triple therapy, or vonoprazanamoxicillin dual therapy. Thus, the guideline panel used expert consensus to suggest PPI- or PCAB-clarithromycin triple salvage therapy in patients with persistent H. pylori infection confirmed to be sensitive to clarithromycin by antibiotic susceptibility testing. As noted above, the bactericidal activity of clarithromycin and amoxicillin on susceptible H. pylori strains is critically dependent on achieving and maintaining adequate gastric acid suppression (intragastric pH .6)."
What are the recommended first-line therapies for H. pylori?,3,ACG_0010,0.6862,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,3,ERADICATING HELICOBACTER PYLORI INFECTION IN TREATMENT-NAIVE PATIENTS,"Table 2. Guideline recommendations Recommendations for treatment-naive patients with Helicobacter pylori infection 1. In treatment-naive patients with H. pylori infection, optimized BQTis recommended as a first-line treatment option (strong recommendation; moderate quality evidence) 2. In treatment-naive patients with H. pylori infection, rifabutin triple therapy is suggested as a first-line treatment option (conditional recommendation; low quality evidence) 3. In treatment-naive patients with H. pylori infection, dual therapy with a PCAB and amoxicillin is suggested as a first-line treatment option (conditional recommendation; moderate quality evidence) 4. In treatment-naive patients with H. pylori infection and unknown clarithromycin susceptibility, PCAB-clarithromycin triple therapy is suggested over PPIclarithromycin triple therapy (conditional recommendation; moderate quality evidence) 5. In treatment-naive patients with H. pylori infection, concomitant therapy is not suggested over bismuth quadruple therapy (conditional recommendation; low quality evidence)"
What are the recommended first-line therapies for H. pylori?,4,ACG_0001,0.6812,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,1,ABSTRACT,"Helicobacter pylori is a prevalent, global infectious disease that causes dyspepsia, peptic ulcer disease, and gastric cancer. The American College of Gastroenterology commissioned this clinical practice guideline (CPG) to inform the evidence-based management of patients with H. pylori infection in North America. This CPG used Grading of Recommendations, Assessment, Development, and Evaluation (GRADE) methodology to systematically analyze 11 Population, Intervention, Comparison, and Outcome questions and generate recommendations. Where evidence was insufficient or the topic did not lend itself to GRADE, expert consensus was used to create 6 key concepts. For treatment-naive patients with H. pylori infection, bismuth quadruple therapy (BQT) for 14 days is the preferred regimen when antibiotic susceptibility is unknown. Rifabutin triple therapy or potassium-competitive acid blocker dual therapy for 14 days is a suitable empiric alternative in patients without penicillin allergy. In treatment-experienced patients with persistent H. pylori infection, ""optimized"" BQT for 14 days is preferred for those who have not been treated with optimized BQT previously and for whom antibiotic susceptibility is unknown. In patients previously treated with optimized BQT, rifabutin triple therapy for 14 days is a suitable empiric alternative."
What are the recommended first-line therapies for H. pylori?,5,ACG_0005,0.6669,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,2,INTRODUCTION,"In some instances, key concepts are based on extrapolation of evidence and/or expert consensus. This guideline used GRADE methodology to evaluate treatment options for patients with H. pylori infection. We summarize treatment recommendations for patients with active H. pylori infection, as confirmed by a nonserological test, who have not been previously treated (i.e., ""treatment-naive"" patients) and those with persistent infection despite previous attempt(s) at eradication (i.e., ""treatment-experienced"" patients). Readers will notice substantial changes from the recommendations offered in the 2017 ACG CPG (6). These changes were largely motivated by important new data from North America including: 1. Rising rates of resistance to key antibiotics used to treat H. pylori, including clarithromycin and levofloxacin. This has led to reduced effectiveness of commonly used treatment regimens that contain these antibiotics. 2. Studies that have been conducted with novel treatment regimens featuring new antibiotic options (i.e., rifabutin) or more potent, next-generation gastric acid-suppressing agents (i.e., potassium-competitive acid blockers; PCABs) in treatment-naive individuals. As in previous versions, recommendations were based on the current, best available evidence with prioritization of evidence from studies conducted in North America. When unavailable, recommendations were based on studies conducted in other parts of the world and expert consensus."
When should patients be tested for H. pylori after treatment?,1,ACG_0055,0.7538,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,13,POST-TREATMENT TESTING FOR CURE,"Results will inform clinicians either to consider an alternative treatment for H. pylori in those with persistent infection or a different dyspepsia treatment strategy in those with successful eradication. A negative post-treatment test result should be reassuring to patients and providers alike as a meta-analysis reported recurrence rates of 1% (95% CI 0.3%-3%) per year for persons in the United States who are successfully eradicated of their H. pylori infection. Thus, with the exception of Alaskan natives who have an H. pylori recurrence rate of more than 8%, recurrence of H. pylori infection after an evidence-based treatment regimen is quite rare in the United States (105). An added benefit of routinely testing for cure is the ability of providers to monitor their local treatment results and to change their approach if results with certain regimens are suboptimal (e.g., if under 85%). Low eradication rates in first-line therapy should prompt consideration of testing for resistance and/or adopting a different empiric regimen. It is encouraging that the recommendation for routine post-treatment test of cure in the 2017 ACG guideline has been accompanied by improved rates of post-treatment testing in clinical practice in the United States, from under 25% in 2005 to 60%-80%by 2019 (57,60,106). Nevertheless, these improvements should not discourage healthcare providers from further attempts at improving adherence to the recommendation for universal post-treatment testing."
When should patients be tested for H. pylori after treatment?,2,ACG_0021,0.6707,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,5,INDICATIONS FOR HELICOBACTER PYLORI TESTING AND TREATMENT,"Table 4. Indications for H. pylori testing and treatment Groups to test and treat for H. pylori infectiona: • Peptic ulcer disease: prior history or active disease • Marginal zone B-cell lymphoma, MALT type • Uninvestigated dyspepsia in patients who are under the age of 60 years ‐ In high-risk populations for gastric cancer, test and treat at age 45-50 years • Functional dyspepsia • Adult household members of individuals who have a positive non-serological test for H. pylori • Patients taking long-term NSAIDs or starting long-term treatment with low-dose aspirin • Patients with unexplained iron deficiency anemia • Patients with idiopathic (autoimmune) thrombocytopenic purpura • Primary and secondary prevention of gastric adenocarcinoma ‐ Current or history of gastric premalignant conditions (GPMC)b ‐ Current or history of early gastric cancer resection ‐ Current or prior history of gastric adenocarcinoma ‐ Patients with gastric adenomas or hyperplastic polypsc ‐ Persons with a first degree relative with gastric cancerd ‐ Individuals at increased risk for gastric cancer including certain non-White racial/ethnic groups, immigrants from high gastric cancer incidence regions/ countries, hereditary cancer syndromes associated with an increased risk for gastric cancerd ‐ Patients with autoimmune gastritis aIn the absence of contraindications, H. pylori treatment should be offered to all patients with active H. pylori infection, as indicated by a positive non-serological test."
When should patients be tested for H. pylori after treatment?,3,ACG_0053,0.6519,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,13,POST-TREATMENT TESTING FOR CURE,"4. All patients who are treated for H. pylori infection should undergo a test of cure with an appropriately conducted urea breath test, fecal antigen test, or biopsy-based test at least 4 weeks after completion of therapy. Since H. pylori eradication rates with traditional treatment regimens have been declining in the United States over the past 2 decades, tests of cure are necessary to identify patients with persistent infection. The nonendoscopic urea breath test and fecal antigen test are both highly accurate for confirming treatment success when performed at least 4 weeks after the completion of therapy. Since PPIs can result in false-negative urea breath tests and fecal antigen tests, they should be stopped for 2 weeks before either test of cure is performed (99,100). Similar considerations will probably also apply to PCABs (such as vonoprazan), although, thus far, this has not been adequately studied (101). Standard doses of H2RAs or antacids do not affect the accuracy of these tests. Patients should also avoid bismuth and antibiotics for at least 4 weeks before a test of cure. Because antibody levels can remain detectable for months to years after successful eradication of H. pylori infection, serological testing should not be used to establish post-treatment status (102). In the rare situations when upper endoscopy is needed shortly after treating H. pylori infection (e.g., in patients with a large gastric ulcer or gastric MALT lymphoma), histology and/or a biopsy urease test can also be used to confirm post-treatment H. pylori status. Similar to urea breath testing and fecal antigen testing, the sensitivity of endoscopic tests for H. pylori is reduced by the recent use of PPIs (and possibly PCABs), bismuth, or antibiotics."
When should patients be tested for H. pylori after treatment?,4,ACG_0072,0.6463,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,17,ERADICATING HELICOBACTER PYLORI INFECTION IN TREATMENT-EXPERIENCED PATIENTS,"5. In treatment-experienced patients with persistent H. pylori infection that is confirmed to be clarithromycin-sensitive, PPI- or PCAB-clarithromycin triple therapy is suggested. As the recommendations of this guideline for the first-line treatment of H. pylori infection are incorporated into clinical practice, a larger proportion of treatment-experienced patients with persistent H. pylori infection will have previously been treated with BQT, rifabutin triple therapy, or vonoprazanamoxicillin dual therapy. If, related to previous use, high cost, or a lack of availability, treatment regimens containing clarithromycin or levofloxacin need to be considered, antibiotic susceptibility testing (see Key concept 6) should be performed. Here, we discuss clarithromycin triple therapy as salvage therapy, whereas quinolone-based salvage therapy is discussed below. There are no RCTs or robust observational data from North America that evaluate clarithromycin triple therapy as salvage therapy after BQT, rifabutin triple therapy, or vonoprazanamoxicillin dual therapy. Thus, the guideline panel used expert consensus to suggest PPI- or PCAB-clarithromycin triple salvage therapy in patients with persistent H. pylori infection confirmed to be sensitive to clarithromycin by antibiotic susceptibility testing. As noted above, the bactericidal activity of clarithromycin and amoxicillin on susceptible H. pylori strains is critically dependent on achieving and maintaining adequate gastric acid suppression (intragastric pH .6)."
When should patients be tested for H. pylori after treatment?,5,ACG_0017,0.631,ACG Clinical Guideline 2024: Treatment of Helicobacter pylori Infection,ACG_2024,5,INDICATIONS FOR HELICOBACTER PYLORI TESTING AND TREATMENT,"2. The determination of when to test for—and treat—H. pylori should be viewed as a single, rather than 2 separate and distinct, decisions. Testing for, and treatment of, H. pylori infection should be viewed as dependent rather than independent actions. H. pylori infection is an infectious disease with the potential for serious clinical consequences, including gastric cancer. Therefore, all patients with an indication for testing should be offered effective treatment if confirmed to have active infection—and should subsequently undergo a test-of-cure after treatment. The indications to test for and treat H. pylori infection are summarized in Table 4. The detailed supporting evidence for many of the indications to test for H. pylori infection is reviewed in the previous guideline. Newer information regarding testing indications is briefly summarized herein."
